Project Name,Package Name,Type Name,Method Name,Code Smell
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,testCompressedKneserNey,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Long Statement
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScores,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScoresKneserNey,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScoresKneserNey,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleReaderTest,checkScoresKneserNey,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testBigNgram,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testBigNgram,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testPredict,Long Statement
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testPredict,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testPredict,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCompressed,Long Statement
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCompressedCached,Long Statement
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCompressedCached,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCompressedCached,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTiny,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTiny,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTinyUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTinyUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTinyContextEncoded,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTinyContextEncoded,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTinyContextEncodedUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedTinyContextEncodedUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCached,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCached,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedContextEncoded,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedContextEncoded,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedContextEncodedUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testCachedContextEncodedUnranked,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,getContextEncodedLm,Long Statement
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,getLm,Long Statement
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testContextEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,PerplexityTest,testArrayEncodedLogProb,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,doTest,Long Statement
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,compareLines,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,compareLines,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,compareLines,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,compareLines,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,compareLines,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,compareLines,Magic Number
berkeley,edu.berkeley.nlp.lm.io,KneserNeyFromTextReaderTest,compareLines,Magic Number
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,testContextEncodedBinary,Long Statement
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,testContextEncodedBinary,Long Statement
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,testContextEncodedBinary,Long Statement
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,testArrayEncodedBinary,Long Statement
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,testArrayEncodedBinary,Long Statement
berkeley,edu.berkeley.nlp.lm.io,BinaryTest,testArrayEncodedBinary,Long Statement
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Complex Method
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Long Statement
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Long Statement
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Long Statement
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Long Statement
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Long Statement
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,JavaMapWrapperTest,testBothMapWrapper,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleLmReader,parse,Complex Method
berkeley,edu.berkeley.nlp.lm.io,GoogleLmReader,parse,Magic Number
berkeley,edu.berkeley.nlp.lm.io,GoogleLmReader,addToIndexer,Long Statement
berkeley,edu.berkeley.nlp.lm.io,IOUtils,copy,Magic Number
berkeley,edu.berkeley.nlp.lm.io,IOUtils,copy,Magic Number
berkeley,edu.berkeley.nlp.lm.io,LmReaders,readArrayEncodedLmFromArpa,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,readNgramMapFromGoogleNgramDir,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,readLmFromGoogleNgramDir,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,readLmFromGoogleNgramDir,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,readKneserNeyLmFromTextFile,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,readContextEncodedKneserNeyLmFromTextFile,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,readKneserNeyLmFromTextFile,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,createKneserNeyLmFromTextFiles,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassContextEncoded,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassContextEncoded,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassContextEncoded,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassArrayEncoded,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassArrayEncoded,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassGoogle,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassGoogle,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,secondPassGoogle,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,buildMapArpa,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,buildMapArpa,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,buildMapArpa,Long Statement
berkeley,edu.berkeley.nlp.lm.io,LmReaders,buildMapCommon,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,createNgramMap,Long Parameter List
berkeley,edu.berkeley.nlp.lm.io,LmReaders,createNgramMap,Long Statement
berkeley,edu.berkeley.nlp.lm.io,MakeKneserNeyArpaFromText,main,Magic Number
